model,phase,n_inputs,repeat,time_s
eaim,warm,1,0,0.2937935999943875
eaim,warm,1,1,0.17384649999439716
eaim,warm,1,2,0.16605450003407896
eaim,warm,1,3,0.15477399999508634
eaim,warm,1,4,0.21815910004079342
eaim,warm,1,5,0.31540109997149557
eaim,warm,1,6,0.2302851999993436
eaim,warm,1,7,0.18691470002522692
eaim,warm,1,8,0.1617782999528572
eaim,warm,1,9,0.14702510001370683
eaim,warm,1,10,0.1439589000074193
eaim,warm,1,11,0.1345558000029996
eaim,warm,1,12,0.12605809996603057
eaim,warm,1,13,0.12762699997983873
eaim,warm,1,14,0.13826489995699376
eaim,warm,1,15,0.13425030000507832
eaim,warm,1,16,0.1320358000230044
eaim,warm,1,17,0.12841790000675246
eaim,warm,1,18,0.1278370000072755
eaim,warm,1,19,0.11951699998462573
eaim,warm,1,20,0.12361130001954734
eaim,warm,1,21,0.14726629998767748
eaim,warm,1,22,0.13012360001448542
eaim,warm,1,23,0.12102000002050772
eaim,warm,1,24,0.12999980000313371
eaim,warm,1,25,0.12701309996191412
eaim,warm,1,26,0.1971854000003077
eaim,warm,1,27,0.17342109995661303
eaim,warm,1,28,0.20253960002446547
eaim,warm,1,29,0.18999869999242947
cpu,init,1,0,3.4999684430658817e-06
cpu,init,1,1,4.599976819008589e-06
cpu,init,1,2,4.299974534660578e-06
cpu,init,1,3,4.299974534660578e-06
cpu,init,1,4,3.400025889277458e-06
cpu,init,1,5,3.5999692045152187e-06
cpu,init,1,6,4.8999791033566e-06
cpu,init,1,7,3.999972250312567e-06
cpu,init,1,8,3.7999707274138927e-06
cpu,init,1,9,3.600027412176132e-06
cpu,init,1,10,4.600035026669502e-06
cpu,init,1,11,3.500026650726795e-06
cpu,init,1,12,4.800036549568176e-06
cpu,init,1,13,3.300025127828121e-06
cpu,init,1,14,3.600027412176132e-06
cpu,init,1,15,4.199973773211241e-06
cpu,init,1,16,3.500026650726795e-06
cpu,init,1,17,3.89997148886323e-06
cpu,init,1,18,3.89997148886323e-06
cpu,init,1,19,3.0999653972685337e-06
cpu,init,1,20,3.999972250312567e-06
cpu,init,1,21,3.7999707274138927e-06
cpu,init,1,22,3.700028173625469e-06
cpu,init,1,23,3.900029696524143e-06
cpu,init,1,24,3.500026650726795e-06
cpu,init,1,25,3.2999669201672077e-06
cpu,init,1,26,3.7999707274138927e-06
cpu,init,1,27,3.3999676816165447e-06
cpu,init,1,28,4.199973773211241e-06
cpu,init,1,29,3.8000289350748062e-06
cpu,first_call,1,0,1.7949196000117809
cpu,first_call,1,1,0.6335224999929778
cpu,first_call,1,2,0.6318776999833062
cpu,first_call,1,3,0.6310584000311792
cpu,first_call,1,4,0.6258891000179574
cpu,first_call,1,5,0.62918540003011
cpu,first_call,1,6,0.6175083999987692
